Time,chn_1
58:39.6,0.000485783
03:39.7,0.000507348
08:39.7,0.000546724
13:39.7,0.000524386
18:39.7,0.000519506
23:39.7,0.000494096
28:39.7,0.000510553
33:39.7,0.000523589
38:39.7,0.000521858
43:39.7,0.000525452
48:39.7,0.000523047
53:39.7,0.000525695
58:39.7,0.000521666
03:39.2,0.000525776
08:39.2,0.000525808
13:39.2,0.00053761
18:39.2,0.000539341
23:39.2,0.000537407
28:39.2,0.000538429
33:39.2,0.00053558
38:39.2,0.00055189
43:39.2,0.0005154
48:39.2,0.000503671
53:39.2,0.000525219
58:39.2,0.000513741
03:38.7,0.000521765
08:38.7,0.000528439
13:38.7,0.000525629
18:38.7,0.000534463
23:38.7,0.00054538
28:38.7,0.000548638
33:38.7,0.000559532
38:38.7,0.000561152
43:38.7,0.000558683
48:38.7,0.000558251
53:38.7,0.000558522
58:38.7,0.000560232
03:38.2,0.000567207
08:38.2,0.000571786
13:38.2,0.000575935
18:38.2,0.000569696
23:38.2,0.000625154
28:38.2,0.000709203
33:38.2,0.000738116
38:38.2,0.000705961
43:38.2,0.000750616
48:38.2,0.00078994
53:38.2,0.000774265
58:38.2,0.000774411
03:37.7,0.000756096
08:37.7,0.000740102
13:37.7,0.000731381
18:37.7,0.0007127
23:37.7,0.000709081
28:37.7,0.000715619
33:37.7,0.000657745
38:37.7,0.000674406
43:37.7,0.000628559
48:37.7,0.000623621
53:37.7,0.000611003
58:37.7,0.000574925
03:37.3,0.000566846
08:37.3,0.000558878
13:37.3,0.000562701
18:37.3,0.000568591
23:37.2,0.000568818
28:37.3,0.000557739
33:37.3,0.000557415
38:37.3,0.000506248
43:37.3,0.000589765
48:37.3,0.000596098
53:37.3,0.000579515
58:37.3,0.000596085
03:36.8,0.000578755
08:36.8,0.000584263
13:36.8,0.000578782
18:36.8,0.00054477
23:36.8,0.000117484
28:36.8,0.000245987
33:36.8,0.00034715
38:36.9,0.0014
43:36.9,0.002444582
48:36.9,0.010705912
53:36.9,0.027208731
58:36.9,0.050576277
03:36.4,0.092574626
08:36.3,0.183656603
13:36.3,0.259
18:36.3,0.279916316
23:36.3,0.280831009
28:36.3,0.286756873
33:36.3,0.305664271
38:36.3,0.356047601
43:36.3,0.356701255
48:36.3,0.356212795
53:36.3,0.35530287
58:36.3,0.354288012
03:35.8,0.353597879
08:35.8,0.353032619
13:35.8,0.352717668
18:35.8,0.352535218
23:35.8,0.352590948
28:35.8,0.352834374
33:35.8,0.353844136
38:35.8,0.355835497
43:35.8,0.35941577
48:35.8,0.364996135
53:35.8,0.371723562
58:35.8,0.377408773
03:35.3,0.38137424
08:35.3,0.384130269
13:35.3,0.385989934
18:35.3,0.387176603
23:35.3,0.387765378
28:35.3,0.387986809
33:35.3,0.388098955
38:35.3,0.388152868
43:35.3,0.388188809
48:35.3,0.389023274
53:35.3,0.388926357
58:35.3,0.38890329
03:34.8,0.388616145
08:34.8,0.388461053
13:34.8,0.388269126
18:34.8,0.387977958
23:34.8,0.388102472
28:34.8,0.388331115
33:34.8,0.388248563
38:34.8,0.388369203
43:34.8,0.388108492
48:34.8,0.388221502
53:34.8,0.388172477
58:34.8,0.388947666
03:34.3,0.388983071
08:34.3,0.388982415
13:34.3,0.389059991
18:34.3,0.389003903
23:34.3,0.389122605
28:34.3,0.389199018
33:34.3,0.389234364
38:34.3,0.389041007
43:34.3,0.388962895
48:34.3,0.388705522
53:34.3,0.389569402
58:34.3,0.389546633
03:33.8,0.389477789
08:33.8,0.389254451
13:33.8,0.389267802
18:33.8,0.389085829
23:33.8,0.38893491
28:33.8,0.388779551
33:33.8,0.388869822
38:33.8,0.388827264
43:33.8,0.388745427
48:33.8,0.388687015
53:33.8,0.388537854
58:33.8,0.388526738
03:33.3,0.388557822
08:33.3,0.38874054
13:33.3,0.388867736
18:33.3,0.391172469
23:33.3,0.391340524
28:33.3,0.391452044
33:33.3,0.391421646
38:33.3,0.391280174
43:33.3,0.390969902
48:33.3,0.391140491
53:33.3,0.391201049
58:33.3,0.391237646
03:32.8,0.391299635
08:32.8,0.39129442
13:32.8,0.391378164
18:32.8,0.391380191
23:32.8,0.391386032
28:32.8,0.391402453
33:32.8,0.391420811
38:32.8,0.391523212
43:32.8,0.391677201
48:32.8,0.391702145
53:32.8,0.391802877
58:32.8,0.391984969
03:32.3,0.392039776
08:32.3,0.392075807
13:32.3,0.392228484
18:32.3,0.392340332
23:32.3,0.39246434
28:32.3,0.392686009
33:32.3,0.392873853
38:32.3,0.393085539
43:32.3,0.393206656
48:32.3,0.393268257
53:32.3,0.393516213
58:32.3,0.393648595
03:31.7,0.393856823
08:31.7,0.393957853
13:31.8,0.394062728
18:31.7,0.394242585
23:31.7,0.394153416
28:31.7,0.394302517
33:31.8,0.394477248
38:31.7,0.394701779
43:31.8,0.39484331
48:31.7,0.395013601
53:31.7,0.395181835
58:31.8,0.395452112
03:31.3,0.395698428
08:31.2,0.395969748
13:31.2,0.396350443
18:31.3,0.39656648
23:31.2,0.396750808
28:31.2,0.396987826
33:31.3,0.397160888
38:31.2,0.397422999
43:31.2,0.397712082
48:31.3,0.397855461
53:31.2,0.397974223
58:31.2,0.3981888
03:30.7,0.398479253
08:30.7,0.398711175
13:30.7,0.398949236
18:30.7,0.399169058
23:30.7,0.399396807
28:30.7,0.399552584
33:30.8,0.399871409
38:30.7,0.400058597
43:30.7,0.40008238
48:30.7,0.400201917
53:30.7,0.400129914
58:30.7,0.400376916
03:30.2,0.400387615
08:30.3,0.400412709
13:30.2,0.400467873
18:30.2,0.400414556
23:30.2,0.400342971
28:30.2,0.400468171
33:30.2,0.4004381
38:30.2,0.400419712
43:30.2,0.400463313
48:30.2,0.400363535
53:30.2,0.40022403
58:30.2,0.400090665
03:29.7,0.399934769
08:29.7,0.399765551
13:29.7,0.399600536
18:29.7,0.399416208
23:29.7,0.399218291
28:29.7,0.399155915
33:29.7,0.398947299
38:29.7,0.398989886
43:29.7,0.399316132
48:29.7,0.39929387
53:29.7,0.399213076
58:29.7,0.399143279
03:29.2,0.399359733
08:29.2,0.399660438
13:29.3,0.399626315
18:29.2,0.399672061
23:29.2,0.399788171
28:29.2,0.399870872
33:29.2,0.399999976
38:29.2,0.400070637
43:29.2,0.400233269
48:29.2,0.400442749
53:29.2,0.400737822
58:29.2,0.400963187
03:28.7,0.401250929
08:28.7,0.401255369
13:28.7,0.401496172
18:28.7,0.401772112
23:28.7,0.402123541
28:28.7,0.402362704
33:28.8,0.402600765
38:28.7,0.402780235
43:28.7,0.403092593
48:28.7,0.403581709
53:28.7,0.403843105
58:28.7,0.404135853
03:28.3,0.4042705
08:28.2,0.404293716
13:28.3,0.404428512
18:28.2,0.404482812
23:28.3,0.404550076
28:28.3,0.404921263
33:28.3,0.404959351
38:28.2,0.405118018
43:28.3,0.405261964
48:28.3,0.405350029
53:28.2,0.405416042
58:28.3,0.405587941
03:27.8,0.40586555
08:27.8,0.406070381
13:27.8,0.406262457
18:27.8,0.406527162
23:27.8,0.406689197
28:27.8,0.406841308
33:27.8,0.40694961
38:27.8,0.40710333
43:27.8,0.407303452
48:27.8,0.407299012
53:27.8,0.407344699
58:27.8,0.407407403
03:27.3,0.407710761
08:27.3,0.407829195
13:27.3,0.408082575
18:27.3,0.408285946
23:27.3,0.40847525
28:27.3,0.408667922
33:27.3,0.408827364
38:27.3,0.409016192
43:27.3,0.409103721
48:27.3,0.409196764
53:27.3,0.409322947
58:27.3,0.409512043
03:26.8,0.40965721
08:26.8,0.409890682
13:26.9,0.409970433
18:26.8,0.409985363
23:26.8,0.40997237
28:26.8,0.410183847
33:26.8,0.41034463
38:26.8,0.410370708
43:26.8,0.410415471
48:26.8,0.410544604
53:26.8,0.410663337
58:26.8,0.410761297
03:26.3,0.410839081
08:26.3,0.410801679
13:26.3,0.410907358
18:26.3,0.410986781
23:26.3,0.411121786
28:26.3,0.411335766
33:26.3,0.411607713
38:26.3,0.411831975
43:26.3,0.412092626
48:26.3,0.412225455
53:26.3,0.412469268
58:26.3,0.41268298
03:25.8,0.412828028
08:25.8,0.41201809
13:25.8,0.411839366
18:25.8,0.412057757
23:25.8,0.412399918
28:25.8,0.412709177
33:25.8,0.413026422
38:25.8,0.413271338
43:25.8,0.413597822
48:25.8,0.413834661
53:25.8,0.414017528
58:25.8,0.414004177
03:25.4,0.414160848
08:25.4,0.41422531
13:25.3,0.414404452
18:25.3,0.414467812
23:25.3,0.414598852
28:25.3,0.414826393
33:25.3,0.414977461
38:25.3,0.415186524
43:25.3,0.415266871
48:25.4,0.415529788
53:25.3,0.41566214
58:25.4,0.415756136
03:24.8,0.415861666
08:24.9,0.416027039
13:24.9,0.41618672
18:24.9,0.416233957
23:24.9,0.416293919
28:24.9,0.416227758
33:24.9,0.416086912
38:24.9,0.416040599
43:24.8,0.416006625
48:24.8,0.41602993
53:24.9,0.415976316
58:24.9,0.415955842
03:24.4,0.416068047
08:24.4,0.416201383
13:24.4,0.416345686
18:24.4,0.41646421
23:24.4,0.41665262
28:24.4,0.416713297
33:24.4,0.416732728
38:24.4,0.417005628
43:24.4,0.417072326
48:24.4,0.417115003
53:24.4,0.417337447
58:24.4,0.417355895
03:23.9,0.417385519
08:23.9,0.417378336
13:23.9,0.417500168
18:23.9,0.417503446
23:23.9,0.417512923
28:23.9,0.417569548
33:23.9,0.417661488
38:23.9,0.417713255
43:23.9,0.417700857
48:23.9,0.417946756
53:23.9,0.417962968
58:23.9,0.418109864
03:23.4,0.418195665
08:23.4,0.418079615
13:23.4,0.418647081
18:23.4,0.418670505
23:23.4,0.418788671
28:23.4,0.418926805
33:23.4,0.419075757
38:23.4,0.41917634
43:23.4,0.419319987
48:23.4,0.419460326
53:23.4,0.419593215
58:23.4,0.41977194
03:22.9,0.41983211
08:22.9,0.419854254
13:22.9,0.419994473
18:22.9,0.420142919
23:22.9,0.420198262
28:22.9,0.420393229
33:22.9,0.42048952
38:22.9,0.420669973
43:22.9,0.420804888
48:22.9,0.420874923
53:22.9,0.421033233
58:22.9,0.421273232
03:22.4,0.421483666
08:22.4,0.421671271
13:22.4,0.42175585
18:22.4,0.421894193
23:22.4,0.422017306
28:22.4,0.422123492
33:22.4,0.422243923
38:22.4,0.422451407
43:22.4,0.422671497
48:22.4,0.422859073
53:22.4,0.422933519
58:22.4,0.423119843
03:21.9,0.423176408
08:21.9,0.423390687
13:21.9,0.423958123
18:21.9,0.424098432
23:21.9,0.424407959
28:21.9,0.424619764
33:21.9,0.424768835
38:21.9,0.424929678
43:21.9,0.425232202
48:21.9,0.425455034
53:21.9,0.425629735
58:21.9,0.424474925
03:21.4,0.424510479
08:21.4,0.424693078
13:21.4,0.424822718
18:21.4,0.425075412
23:21.4,0.425300807
28:21.4,0.425346643
33:21.4,0.425369084
38:21.4,0.425531775
43:21.4,0.425607592
48:21.4,0.42569375
53:21.4,0.425835699
58:21.4,0.426033139
03:20.9,0.426221937
08:20.9,0.426264048
13:20.9,0.426385731
18:20.9,0.426535696
23:20.9,0.426605731
28:20.9,0.427029759
33:20.9,0.427088022
38:20.9,0.427260607
43:20.9,0.427251399
48:20.9,0.427157462
53:20.9,0.427302092
58:20.9,0.427378982
03:20.5,0.427590579
08:20.5,0.427657485
13:20.4,0.427871943
18:20.4,0.427931786
23:20.4,0.427971601
28:20.4,0.428147882
33:20.4,0.42815882
38:20.4,0.428319186
43:20.4,0.428336143
48:20.4,0.428227276
53:20.4,0.428318173
58:20.4,0.428415686
03:19.9,0.428686976
08:19.9,0.42885986
13:19.9,0.428973287
18:19.9,0.428914577
23:19.9,0.429043382
28:19.9,0.429088026
33:19.9,0.429147661
38:19.9,0.429020762
43:19.9,0.429121584
48:19.9,0.429295808
53:19.9,0.429487437
58:19.9,0.42939654
03:19.4,0.42955026
08:19.4,0.429667443
13:19.4,0.430131227
18:19.4,0.429830492
23:19.4,0.42997992
28:19.4,0.430051059
33:19.4,0.430217683
38:19.4,0.430354595
43:19.4,0.430466801
48:19.4,0.430360645
53:19.4,0.430381328
58:19.4,0.430455983
03:18.9,0.430584788
08:18.9,0.430036366
13:18.9,0.430097252
18:18.9,0.430190533
23:18.9,0.430301517
28:18.9,0.430384278
33:18.9,0.430531442
38:18.9,0.430723369
43:18.9,0.430871427
48:18.9,0.430995703
53:18.9,0.431114584
58:18.9,0.43124181
03:18.4,0.430687487
08:18.4,0.430693924
13:18.4,0.430794716
18:18.4,0.43084383
23:18.4,0.430903494
28:18.4,0.430976093
33:18.4,0.431137353
38:18.4,0.430590212
43:18.4,0.43055138
48:18.4,0.430994838
53:18.4,0.43109566
58:18.4,0.431176782
03:17.9,0.431208342
08:17.9,0.431313872
13:17.9,0.431383431
18:17.9,0.431468397
23:17.9,0.431063503
28:17.9,0.431220502
33:17.9,0.431115776
38:17.9,0.431072116
43:17.9,0.431061238
48:17.9,0.430993617
53:17.9,0.430929989
58:17.9,0.430903137
03:17.4,0.43081665
08:17.4,0.430826426
13:17.4,0.430925161
18:17.4,0.430952579
23:17.4,0.430984199
28:17.4,0.431152433
33:17.4,0.431091905
38:17.4,0.431185514
43:17.4,0.431202501
48:17.4,0.431292981
53:17.4,0.431432724
58:17.4,0.431451231
03:16.9,0.431615919
08:16.9,0.431681305
13:16.9,0.431785971
18:16.9,0.431690902
23:16.9,0.431652725
28:16.9,0.431610942
33:16.9,0.431798041
38:16.9,0.431809664
43:16.9,0.431739241
48:16.9,0.431633681
53:16.9,0.431977749
58:16.9,0.432104588
03:16.4,0.432083309
08:16.4,0.431953341
13:16.4,0.431871206
18:16.4,0.431886941
23:16.4,0.431725472
28:16.4,0.431766182
33:16.4,0.43166998
38:16.4,0.431554705
43:16.4,0.431502074
48:16.4,0.431709617
53:16.4,0.432036519
58:16.4,0.432081252
03:15.9,0.432082772
08:15.9,0.431867898
13:15.9,0.431773782
18:15.9,0.431623489
23:15.9,0.431713313
28:15.9,0.431787819
33:15.9,0.431547195
38:15.9,0.43138662
43:15.9,0.431217045
48:15.9,0.431189507
53:15.9,0.429818779
58:15.9,0.429694176
03:15.4,0.429673851
08:15.4,0.429710627
13:15.4,0.429851174
18:15.4,0.429802746
23:15.4,0.429351687
28:15.4,0.429087192
33:15.4,0.429084212
38:15.4,0.429046273
43:15.4,0.429063529
48:15.4,0.428948522
53:15.4,0.428912282
58:15.4,0.428892642
03:14.9,0.428716302
08:14.9,0.428617865
13:14.9,0.428410828
18:14.9,0.428256422
23:14.9,0.42819497
28:14.9,0.427918404
33:14.9,0.428026199
38:14.9,0.427831441
43:14.9,0.427817881
48:14.9,0.427810699
53:14.9,0.427821636
58:14.9,0.427750736
03:14.4,0.427544236
08:14.4,0.427467108
13:14.4,0.427287102
18:14.4,0.427156419
23:14.4,0.42704159
28:14.4,0.426825643
33:14.4,0.426600605
38:14.4,0.426573098
43:14.4,0.426466435
48:14.4,0.426228642
53:14.4,0.425979912
58:14.4,0.425787807
03:13.9,0.425458491
08:13.9,0.425443172
13:13.9,0.425124854
18:13.9,0.424883574
23:13.9,0.424746245
28:13.9,0.42480427
33:13.9,0.424931854
38:13.9,0.424738824
43:13.9,0.424753487
48:13.9,0.424518466
53:13.9,0.424321443
58:13.9,0.424094141
03:13.4,0.423826367
08:13.4,0.423566848
13:13.4,0.423199028
18:13.4,0.422803849
23:13.4,0.422572374
28:13.4,0.422299951
33:13.4,0.422070414
38:13.5,0.421928316
43:13.4,0.421822757
48:13.4,0.421590596
53:13.4,0.421099961
58:13.4,0.420811146
03:12.9,0.42059046
08:12.9,0.420216113
13:12.9,0.420050561
18:12.9,0.419755638
23:12.9,0.419683695
28:12.9,0.419507772
33:12.9,0.41927588
38:12.9,0.419008911
43:12.9,0.418830365
48:12.9,0.41844818
53:12.9,0.418427497
58:12.9,0.41771397
03:12.4,0.417283684
08:12.4,0.416724384
13:12.4,0.416294992
18:12.4,0.416029811
23:12.4,0.41600129
28:12.4,0.415692568
33:12.4,0.415461391
38:12.4,0.415115744
43:12.4,0.414919734
48:12.5,0.414611191
53:12.4,0.414171994
58:12.4,0.413713545
03:11.9,0.413244992
08:11.9,0.412940681
13:11.9,0.412548542
18:11.9,0.41236487
23:11.9,0.411671191
28:11.9,0.41118896
33:11.9,0.410931051
38:11.9,0.410381228
43:11.9,0.409856647
48:11.9,0.409499705
53:11.9,0.409312993
58:11.9,0.408264399
03:11.4,0.408041149
08:11.4,0.407574385
13:11.4,0.40646264
18:11.4,0.405631006
23:11.4,0.405325294
28:11.4,0.404751927
33:11.4,0.404452503
38:11.4,0.404204398
43:11.4,0.403244078
48:11.4,0.403331876
53:11.4,0.40181756
58:11.4,0.400678754
03:10.9,0.40019682
08:10.9,0.399795413
13:10.9,0.398513466
18:10.9,0.397212535
23:10.9,0.39621222
28:10.9,0.395674378
33:10.9,0.394708127
38:10.9,0.393115491
43:10.9,0.392576963
48:10.9,0.392197609
53:10.9,0.390291661
58:10.9,0.388048947
03:10.4,0.38721925
08:10.4,0.386775374
13:10.4,0.386681288
18:10.4,0.388065189
23:10.4,0.384440511
28:10.4,0.381447643
33:10.4,0.37916398
38:10.4,0.376541525
43:10.4,0.374871671
48:10.4,0.371952623
53:10.4,0.367723614
58:10.4,0.364243984
03:09.9,0.3602449
08:09.9,0.354970604
13:09.9,0.351916879
18:09.9,0.347203583
23:09.9,0.341903508
28:09.9,0.336031109
33:09.9,0.332363099
38:09.9,0.326377243
43:09.9,0.322551072
